Berichtsjahr,Berichtsmonat,Segment,Marke,Modellreihe,Anzahl,Diesel,Hybrid,Benzin-Hybrid,Diesel-Hybrid,Hybrid (ohne Plug-in),Benzin-Hybrid (ohne Plug-in),Diesel-Hybrid (ohne Plug-in),Plug-in-Hybrid,Benzin-Plug-in-Hybrid,Diesel-Plug-in-Hybrid,Elektro (BEV),Allradantrieb,offener Aufbau,gewerblich,ObjectId
2020,Januar,SUVs,KIA,SPORTAGE,643,75000.0,145000.0,,145000.0,145000.0,,145000.0,,,,,363000.0,,335000.0,738868
2020,Januar,SUVs,KIA,STONIC,400,11000.0,,,,,,,,,,,,,221000.0,738869
2020,Januar,SUVs,LADA,NIVA,136,,,,,,,,,,,,136000.0,,50000.0,738870
2020,Januar,SUVs,LEXUS,NX,44,,43000.0,43000.0,,43000.0,43000.0,,,,,,39000.0,,37000.0,738871
2020,Januar,SUVs,LEXUS,RX,64,,35000.0,35000.0,,35000.0,35000.0,,,,,,64000.0,,51000.0,738872
2020,Januar,SUVs,LEXUS,UX,226,,224000.0,224000.0,,224000.0,224000.0,,,,,,8000.0,,183000.0,738873
2020,Januar,SUVs,MASERATI,LEVANTE,47,20000.0,,,,,,,,,,,47000.0,,38000.0,738874
2020,Januar,SUVs,MAZDA,CX-3,6,,,,,,,,,,,,,,3000.0,738875
2020,Januar,SUVs,MAZDA,CX-30,1392,37000.0,1355000.0,1355000.0,,1355000.0,1355000.0,,,,,,249000.0,,248000.0,738876
2020,Januar,SUVs,MAZDA,CX-5,755,237000.0,,,,,,,,,,,399000.0,,407000.0,738877
2020,Januar,SUVs,MERCEDES,GLA,957,2000.0,,,,,,,,,,,168000.0,,353000.0,738878
2020,Januar,SUVs,MERCEDES,GLB,153,88000.0,,,,,,,,,,,98000.0,,145000.0,738879
2020,Januar,SUVs,MERCEDES,"GLK, GLC",4038,2479000.0,1099000.0,1094000.0,,1063000.0,1063000.0,,36000.0,31000.0,,75000.0,4032000.0,,2979000.0,738880
2020,Januar,SUVs,MITSUBISHI,ASX,613,,,,,,,,,,,,36000.0,,145000.0,738881
2020,Januar,SUVs,MITSUBISHI,ECLIPSE CROSS,639,89000.0,,,,,,,,,,,135000.0,,286000.0,738882
2020,Januar,SUVs,MITSUBISHI,OUTLANDER,1259,,868000.0,868000.0,,,,,868000.0,868000.0,,,901000.0,,878000.0,738883
2020,Januar,SUVs,NISSAN,QASHQAI,1053,187000.0,,,,,,,,,,,102000.0,,563000.0,738884
2020,Januar,SUVs,OPEL,CROSSLAND X,1437,99000.0,,,,,,,,,,,,,983000.0,738885
2020,Januar,SUVs,OPEL,GRANDLAND X,2336,681000.0,449000.0,449000.0,,,,,449000.0,449000.0,,,449000.0,,1854000.0,738886
2020,Januar,SUVs,PEUGEOT,2008,732,128000.0,,,,,,,,,,,,,687000.0,738887
2020,Januar,SUVs,RENAULT,CAPTUR,1708,5000.0,,,,,,,,,,,,,1006000.0,738888
2020,Januar,SUVs,RENAULT,KADJAR,629,156000.0,,,,,,,,,,,31000.0,,405000.0,738889
2020,Januar,SUVs,RENAULT,KOLEOS,226,226000.0,,,,,,,,,,,209000.0,,107000.0,738890
2020,Januar,SUVs,ROLLS ROYCE,CULLINAN,14,,,,,,,,,,,,14000.0,,12000.0,738891
2020,Januar,SUVs,SEAT,ARONA,1915,57000.0,,,,,,,,,,,,,762000.0,738892
2020,Januar,SUVs,SEAT,ATECA,2070,520000.0,,,,,,,,,,,864000.0,,1078000.0,738893
2020,Januar,SUVs,SEAT,TARRACO,659,372000.0,,,,,,,,,,,501000.0,,431000.0,738894
2020,Januar,SUVs,SKODA,KAMIQ,1761,139000.0,,,,,,,,,,,,,776000.0,738895
2020,Januar,SUVs,SKODA,KAROQ,1610,588000.0,,,,,,,,,,,452000.0,,817000.0,738896
2020,Januar,SUVs,SSANGYONG,KORANDO,56,13000.0,,,,,,,,,,,12000.0,,18000.0,738897
2020,Januar,SUVs,SSANGYONG,TIVOLI,73,1000.0,,,,,,,,,,,,,31000.0,738898
2020,Januar,SUVs,SUBARU,XV,143,,56000.0,56000.0,,56000.0,56000.0,,,,,,143000.0,,106000.0,738899
2020,Januar,SUVs,SUZUKI,SX4,282,,,,,,,,,,,,109000.0,,252000.0,738900
2020,Januar,SUVs,SUZUKI,VITARA,299,,,,,,,,,,,,235000.0,,217000.0,738901
2020,Januar,SUVs,TESLA,MODEL X,40,,,,,,,,,,,40000.0,40000.0,,26000.0,738902
2020,Januar,SUVs,TOYOTA,C-HR,668,,627000.0,627000.0,,627000.0,627000.0,,,,,,,,401000.0,738903
2020,Januar,SUVs,TOYOTA,RAV 4,1049,,1009000.0,1009000.0,,1009000.0,1009000.0,,,,,,578000.0,,499000.0,738904
2020,Januar,SUVs,VW,T-CROSS,2566,160000.0,,,,,,,,,,,,,1180000.0,738905
2020,Januar,SUVs,VW,T-ROC,3785,922000.0,,,,,,,,,,,754000.0,,2216000.0,738906
2020,Januar,GELÄNDEWAGEN,AUDI,Q3,2440,816000.0,501000.0,501000.0,,493000.0,493000.0,,8000.0,8000.0,,,956000.0,,1709000.0,738907
2020,Januar,GELÄNDEWAGEN,AUDI,Q5,2468,1199000.0,1249000.0,721000.0,528000.0,604000.0,76000.0,528000.0,645000.0,645000.0,,,2452000.0,,1885000.0,738908
2020,Januar,GELÄNDEWAGEN,AUDI,Q7,634,207000.0,421000.0,61000.0,360000.0,362000.0,2000.0,360000.0,59000.0,59000.0,,,634000.0,,536000.0,738909
2020,Januar,GELÄNDEWAGEN,AUDI,Q8,424,5000.0,409000.0,113000.0,296000.0,401000.0,105000.0,296000.0,8000.0,8000.0,,,424000.0,,349000.0,738910
2020,Januar,GELÄNDEWAGEN,BENTLEY,BENTAYGA,31,,10000.0,10000.0,,8000.0,8000.0,,2000.0,2000.0,,,30000.0,,25000.0,738911
2020,Januar,GELÄNDEWAGEN,BMW,X3,2358,1704000.0,84000.0,82000.0,2000.0,2000.0,,2000.0,82000.0,82000.0,,,2357000.0,,1588000.0,738912
2020,Januar,GELÄNDEWAGEN,BMW,X4,492,292000.0,,,,,,,,,,,491000.0,,375000.0,738913
2020,Januar,GELÄNDEWAGEN,BMW,X5,1225,863000.0,228000.0,227000.0,1000.0,1000.0,,1000.0,227000.0,227000.0,,,1225000.0,,977000.0,738914
2020,Januar,GELÄNDEWAGEN,BMW,X6,202,158000.0,,,,,,,,,,,202000.0,,172000.0,738915
2020,Januar,GELÄNDEWAGEN,BMW,X7,186,152000.0,,,,,,,,,,,186000.0,,145000.0,738916
2020,Januar,GELÄNDEWAGEN,HYUNDAI,SANTA FE,303,279000.0,1000.0,1000.0,,1000.0,1000.0,,,,,,290000.0,,227000.0,738917
2020,Januar,GELÄNDEWAGEN,JAGUAR,E-PACE,202,115000.0,,,,,,,,,,,194000.0,,89000.0,738918
2020,Januar,GELÄNDEWAGEN,JAGUAR,F-PACE,149,116000.0,,,,,,,,,,,140000.0,,106000.0,738919
2020,Januar,GELÄNDEWAGEN,JEEP,CHEROKEE,119,98000.0,,,,,,,,,,,111000.0,,100000.0,738920
2020,Januar,GELÄNDEWAGEN,JEEP,COMPASS,330,133000.0,,,,,,,,,,,321000.0,,243000.0,738921
2020,Januar,GELÄNDEWAGEN,JEEP,GRAND CHEROKEE,140,104000.0,,,,,,,,,,,140000.0,,102000.0,738922
2020,Januar,GELÄNDEWAGEN,JEEP,RENEGADE,260,36000.0,,,,,,,,,,,86000.0,,201000.0,738923
2020,Januar,GELÄNDEWAGEN,JEEP,WRANGLER,179,114000.0,,,,,,,,,,,179000.0,3000.0,143000.0,738924
2020,Januar,GELÄNDEWAGEN,KIA,SORENTO,156,156000.0,,,,,,,,,,,149000.0,,113000.0,738925
2020,Januar,GELÄNDEWAGEN,LAND ROVER,DISCOVERY,141,139000.0,,,,,,,,,,,141000.0,,118000.0,738926
2020,Januar,GELÄNDEWAGEN,LAND ROVER,DISCOVERY SPORT,268,85000.0,182000.0,48000.0,134000.0,182000.0,48000.0,134000.0,,,,,256000.0,,141000.0,738927
2020,Januar,GELÄNDEWAGEN,LAND ROVER,RANGE ROVER,151,75000.0,21000.0,21000.0,,,,,21000.0,21000.0,,,151000.0,,111000.0,738928
