DATE,SEGMENT,MODELLREIHE,INSGESAMT,CO2-EMISSION IN G/KM,BENZIN,CO2-EMISSION IN G/KM1,KRAFTSTOFFVERBRAUCH IN L/100 KM,DIESEL,CO2-EMISSION IN G/KM2,KRAFTSTOFFVERBRAUCH IN L/100 KM1,ERDGAS (CNG) (EINSCHL. BIVALENT),FLUSSIGGAS (LPG) (EINSCHL. BIVALENT),HYBRID,DAR. PLUG-IN,ELEKTRO (BEV)
202205,SUVS,OPEL MOKKA,1761,107.1,1441,128.4,5.5,32,117,4.4,,,,,288
202205,SUVS,PEUGEOT 2008,494,53.7,170,133.8,5.8,32,125.1,4.7,,,,,292
202205,SUVS,RENAULT ARKANA,351,129.1,,,,,,,,,351,,
202205,SUVS,RENAULT CAPTUR,937,103.6,104,134,5.8,,,,,5,828,284,
202205,SUVS,RENAULT KADJAR,250,143.4,227,144.2,6.2,23,135.4,5.1,,,,,
202205,SUVS,RENAULT KOLEOS,100,171.4,19,152.6,6.6,81,175.6,6.6,,,,,
202205,SUVS,ROLLS ROYCE CULLINAN,10,375,10,375,16.2,,,,,,,,
202205,SUVS,SEAT ARONA,936,133,923,133.4,5.8,,,,13,,,,
202205,SUVS,SEAT ATECA,1159,168.3,846,178.9,7.7,313,139.8,5.3,,,,,
202205,SUVS,SEAT FORMENTOR,2562,101.8,1042,186,8,160,151.6,5.7,,,1360,1360,
202205,SUVS,SEAT TARRACO,159,167.5,60,174.8,7.5,99,163.1,6.2,,,,,
202205,SUVS,SKODA ENYAQ,1173,,,,,,,,,,,,1173
202205,SUVS,SKODA KAMIQ,982,130.2,979,130.3,5.6,,,,3,,,,
202205,SUVS,SKODA KAROQ,1938,144.5,1196,145.7,6.3,742,142.4,5.4,,,,,
202205,SUVS,SSANGYONG KORANDO,44,142.5,31,180.4,7.8,4,170,6.4,,,,,9
202205,SUVS,SSANGYONG TIVOLI,49,168.8,49,168.8,7.3,,,,,,,,
202205,SUVS,SUBARU XV,80,180,55,180,7.8,,,,,,25,,
202205,SUVS,SUZUKI ACROSS,20,35.4,,,,,,,,,20,20,
202205,SUVS,SUZUKI SX4,128,135.2,,,,,,,,,128,,
202205,SUVS,SUZUKI VITARA,285,127.3,,,,,,,,,285,,
202205,SUVS,TESLA MODEL Y,112,,,,,,,,,,,,112
202205,SUVS,TOYOTA C-HR,669,115.7,1,,,,,,,,668,,
202205,SUVS,TOYOTA HIGHLANDER,48,158.6,,,,,,,,,48,,
202205,SUVS,TOYOTA RAV 4,508,73.1,3,160,6.9,,,,,,505,300,
202205,SUVS,VOLVO C40,11,,,,,,,,,,,,11
202205,SUVS,"VW ID.4, ID.5",1849,,,,,,,,,,,,1849
202205,SUVS,VW T-CROSS,3309,138.8,3309,138.8,6,,,,,,,,
202205,SUVS,VW T-ROC,5273,148.3,4526,150.5,6.5,747,135.2,5.1,,,,,
202205,SUVS,VW TAIGO,1843,134.2,1843,134.2,5.8,,,,,,,,
202205,SUVS,SONSTIGE,2,,1,,,,,,,,,,1
202205,GELÄNDEWAGEN,ASTON MARTIN DBX,4,323,4,323,13.9,,,,,,,,
202205,GELÄNDEWAGEN,AUDI Q3,2499,140.7,438,197.9,8.5,1078,156.5,5.9,,,983,499,
202205,GELÄNDEWAGEN,AUDI Q5,2169,162.9,,,,,,,,,2169,401,
202205,GELÄNDEWAGEN,AUDI Q7,529,210.8,12,281.3,12.1,1,,,,,516,29,
202205,GELÄNDEWAGEN,AUDI Q8,300,271.8,49,288.3,12.4,1,,,,,250,1,
202205,GELÄNDEWAGEN,BENTLEY BENTAYGA,38,253.1,31,287.2,12.4,,,,,,7,3,
202205,GELÄNDEWAGEN,BMW X3,2548,120.4,62,245,10.6,,,,,,2182,667,304
202205,GELÄNDEWAGEN,BMW X4,360,178.6,28,245.2,10.6,,,,,,332,,
202205,GELÄNDEWAGEN,BMW X5,1279,119.7,84,283.5,12.2,18,199.1,7.5,,,1177,608,
202205,GELÄNDEWAGEN,BMW X6,262,202.9,52,271.6,11.7,,,,,,210,,
202205,GELÄNDEWAGEN,BMW X7,178,219.1,20,284.2,12.3,,,,,,158,,
202205,GELÄNDEWAGEN,CADILLAC ESCALADE,3,401,3,401,17.3,,,,,,,,
