DATE,MARKE,INSGESAMT,WEISS,GELB,ORANGE,ROT,LILA/VIOLETT,BLAU,GRUN,GRAU,BRAUN,SCHWARZ,SONSTIGE
202010,SONSTIGE,2339.0,409.0,21.0,20.0,101.0,13.0,244.0,46.0,906.0,15.0,370.0,194.0
202009,ALFA ROMEO,418.0,68.0,,,114.0,,50.0,20.0,72.0,,94.0,
202009,AUDI,16247.0,2547.0,108.0,59.0,556.0,11.0,1666.0,233.0,5450.0,49.0,5562.0,6.0
202009,BMW,20267.0,4436.0,73.0,198.0,367.0,29.0,2250.0,111.0,5517.0,109.0,7172.0,5.0
202009,CITROEN,4512.0,1118.0,27.0,177.0,234.0,,278.0,134.0,1425.0,20.0,642.0,457.0
202009,DACIA,3745.0,666.0,21.0,142.0,390.0,1.0,953.0,,767.0,252.0,548.0,5.0
202009,DS,103.0,21.0,,,1.0,1.0,9.0,,32.0,17.0,22.0,
202009,FIAT,9037.0,2134.0,53.0,31.0,779.0,2.0,473.0,278.0,1596.0,42.0,1152.0,2497.0
202009,FORD,18696.0,3602.0,35.0,246.0,1462.0,,3180.0,71.0,6083.0,3.0,3695.0,319.0
202009,HONDA,1203.0,303.0,35.0,1.0,166.0,1.0,202.0,,283.0,30.0,182.0,
202009,HYUNDAI,11744.0,2556.0,,68.0,1905.0,1.0,1438.0,153.0,3723.0,135.0,1757.0,8.0
202009,JAGUAR,532.0,71.0,20.0,,25.0,,33.0,5.0,188.0,,190.0,
202009,JEEP,1788.0,283.0,3.0,28.0,48.0,,122.0,78.0,561.0,4.0,661.0,
202009,KIA,6899.0,2031.0,132.0,79.0,396.0,,732.0,19.0,2073.0,38.0,1399.0,
202009,LAND ROVER,1034.0,135.0,3.0,2.0,28.0,,41.0,45.0,317.0,36.0,427.0,
202009,LEXUS,333.0,77.0,2.0,3.0,15.0,,28.0,15.0,102.0,6.0,85.0,
