DATE,LAND,STATISTISCHE KENNZIFFER UND ZULASSUNGSBEZIRK,INSGESAMT,BENZIN,DIESEL,GAS (EINSCHL. BIVALENT),HYBRID INSGESAMT,ELEKTRO (BEV),SONSTIGE,EURO 1,EURO 2,EURO 3,EURO 4,EURO 5,EURO 6,SONSTIGE1
2020,BAYERN,09187 ROSENHEIM,170647.0,105818.0,61595.0,988.0,1502.0,720.0,24.0,1922.0,8561.0,11110.0,42680.0,47535.0,54486.0,1583.0
2020,BAYERN,09188 STARNBERG,87268.0,54448.0,30499.0,458.0,1264.0,585.0,14.0,1266.0,4039.0,5056.0,17740.0,22964.0,32904.0,967.0
2020,BAYERN,09189 TRAUNSTEIN,116185.0,72298.0,41810.0,651.0,954.0,457.0,15.0,1336.0,5696.0,7391.0,29452.0,33145.0,36318.0,847.0
2020,BAYERN,09190 WEILHEIM-SCHONGAU,87878.0,54772.0,31384.0,623.0,784.0,306.0,9.0,1167.0,5024.0,6462.0,22502.0,24641.0,25825.0,662.0
2020,BAYERN,"09261 LANDSHUT,STADT",37476.0,23197.0,13386.0,242.0,514.0,128.0,9.0,382.0,1767.0,2375.0,9366.0,10055.0,12763.0,241.0
2020,BAYERN,"09262 PASSAU,STADT",28604.0,17934.0,9997.0,109.0,460.0,95.0,9.0,309.0,1384.0,1729.0,6427.0,7379.0,10871.0,180.0
2020,BAYERN,"09263 STRAUBING,STADT",27565.0,17568.0,9521.0,161.0,250.0,60.0,5.0,245.0,1259.0,1806.0,7141.0,7213.0,9444.0,126.0
2020,BAYERN,09271 DEGGENDORF,78144.0,46560.0,30332.0,564.0,505.0,173.0,10.0,636.0,3721.0,4901.0,20025.0,22932.0,24842.0,385.0
2020,BAYERN,09272 FREYUNG-GRAFENAU,52557.0,31123.0,20824.0,239.0,292.0,75.0,4.0,519.0,2854.0,3184.0,13054.0,15136.0,17112.0,222.0
2020,BAYERN,09273 KELHEIM,80233.0,46402.0,32322.0,687.0,573.0,233.0,16.0,729.0,3921.0,5198.0,20609.0,22943.0,25253.0,646.0
2020,BAYERN,09274 LANDSHUT,108331.0,61800.0,44152.0,788.0,1232.0,346.0,13.0,1064.0,5681.0,7626.0,28388.0,30443.0,33153.0,759.0
2020,BAYERN,09275 PASSAU,127611.0,81169.0,44679.0,519.0,902.0,310.0,32.0,1200.0,6986.0,8241.0,33770.0,35680.0,39758.0,703.0
2020,BAYERN,09276 REGEN,49927.0,29888.0,19275.0,248.0,355.0,156.0,5.0,435.0,2290.0,2784.0,11897.0,14930.0,16897.0,311.0
2020,BAYERN,09277 ROTTAL-INN,82413.0,49745.0,31306.0,461.0,668.0,213.0,20.0,829.0,4868.0,6085.0,23045.0,21911.0,24113.0,543.0
2020,BAYERN,09278 STRAUBING-BOGEN,68416.0,40980.0,26344.0,454.0,483.0,146.0,9.0,666.0,3276.0,4634.0,18367.0,20321.0,19972.0,354.0
2020,BAYERN,09279 DINGOLFING-LANDAU,69373.0,39402.0,28753.0,466.0,482.0,266.0,4.0,701.0,3618.0,5114.0,17655.0,17932.0,23003.0,592.0
