Bundesland;Date;Powertrain;Reg
BAYERN;01.08.21;Hybrid;13681
BERLIN;01.08.21;Benzin;1522
BERLIN;01.08.21;Diesel;585
BERLIN;01.08.21;EV;763
BERLIN;01.08.21;CNG;7
BERLIN;01.08.21;LPG;19
BERLIN;01.08.21;Hybrid;1915
BRANDENBURG;01.08.21;Benzin;1487
BRANDENBURG;01.08.21;Diesel;671
BRANDENBURG;01.08.21;EV;563
BRANDENBURG;01.08.21;CNG;9
BRANDENBURG;01.08.21;LPG;19
BRANDENBURG;01.08.21;Hybrid;1177
BREMEN;01.08.21;Benzin;339
BREMEN;01.08.21;Diesel;226
BREMEN;01.08.21;EV;149
BREMEN;01.08.21;CNG;3
BREMEN;01.08.21;LPG;1
BREMEN;01.08.21;Hybrid;324
HAMBURG;01.08.21;Benzin;2620
HAMBURG;01.08.21;Diesel;2303
HAMBURG;01.08.21;EV;580
HAMBURG;01.08.21;CNG;1
HAMBURG;01.08.21;LPG;5
HAMBURG;01.08.21;Hybrid;1946
HESSEN;01.08.21;Benzin;7581
HESSEN;01.08.21;Diesel;3074
HESSEN;01.08.21;EV;2906
HESSEN;01.08.21;CNG;34
HESSEN;01.08.21;LPG;71
HESSEN;01.08.21;Hybrid;5298
MECKLENBURG-VORPOMMERN;01.08.21;Benzin;904
MECKLENBURG-VORPOMMERN;01.08.21;Diesel;405
MECKLENBURG-VORPOMMERN;01.08.21;EV;255
MECKLENBURG-VORPOMMERN;01.08.21;CNG;3
MECKLENBURG-VORPOMMERN;01.08.21;LPG;4
MECKLENBURG-VORPOMMERN;01.08.21;Hybrid;610
NIEDERSACHSEN;01.08.21;Benzin;8247
NIEDERSACHSEN;01.08.21;Diesel;3852
NIEDERSACHSEN;01.08.21;EV;3178
NIEDERSACHSEN;01.08.21;CNG;35
NIEDERSACHSEN;01.08.21;LPG;66
NIEDERSACHSEN;01.08.21;Hybrid;4632
NORDRHEIN-WESTFALEN;01.08.21;Benzin;13962
NORDRHEIN-WESTFALEN;01.08.21;Diesel;6511
NORDRHEIN-WESTFALEN;01.08.21;EV;6510
NORDRHEIN-WESTFALEN;01.08.21;CNG;27
NORDRHEIN-WESTFALEN;01.08.21;LPG;215
NORDRHEIN-WESTFALEN;01.08.21;Hybrid;13977
RHEINLAND-PFALZ;01.08.21;Benzin;2760
RHEINLAND-PFALZ;01.08.21;Diesel;1253
