DATE,BUNDESLAND,BENZIN INSGESAMT,DARUNTER EURO 6,DIESEL INSGESAMT,DARUNTER EURO 61,FLUSSIGGAS (LPG) (EINSCHL. BIVALENT),ERDGAS (CNG) (EINSCHL. BIVALENT),ELEKTRO (BEV),HYBRID,DARUNTER PLUG-IN,SONSTIGE
202102,SAARLAND,867.0,867.0,402.0,402.0,2.0,3.0,197.0,912.0,237.0,
202102,SACHSEN,2750.0,2746.0,1311.0,1311.0,17.0,15.0,413.0,1374.0,544.0,
202102,SACHSEN-ANHALT,1199.0,1198.0,690.0,690.0,6.0,7.0,208.0,578.0,203.0,
202102,SCHLESWIG-HOLSTEIN,1633.0,1629.0,1430.0,1430.0,8.0,9.0,707.0,1097.0,532.0,8.0
202102,THÜRINGEN,1392.0,1390.0,800.0,799.0,8.0,12.0,219.0,725.0,313.0,
202102,SONSTIGE,27.0,27.0,59.0,59.0,,,7.0,19.0,9.0,
202102,DEUTSCHLAND,73357.0,72973.0,49318.0,49255.0,287.0,376.0,18278.0,52704.0,21879.0,29.0
202101,BADEN-WÜRTTEMBERG,8333.0,8320.0,6044.0,6042.0,26.0,27.0,3341.0,7152.0,3315.0,
202101,BAYERN,10995.0,10856.0,8624.0,8584.0,27.0,49.0,2850.0,9700.0,4211.0,1.0
202101,BERLIN,1549.0,1540.0,920.0,920.0,10.0,9.0,402.0,1314.0,620.0,
202101,BRANDENBURG,1298.0,1297.0,719.0,719.0,5.0,5.0,281.0,690.0,277.0,
202101,BREMEN,349.0,349.0,371.0,371.0,,2.0,96.0,346.0,164.0,
202101,HAMBURG,1017.0,1016.0,1288.0,1288.0,5.0,5.0,306.0,1100.0,584.0,
202101,HESSEN,8463.0,8451.0,4886.0,4886.0,26.0,44.0,1416.0,4539.0,2172.0,2.0
202101,MECKLENBURG-VORPOMMERN,931.0,930.0,449.0,449.0,3.0,4.0,128.0,350.0,136.0,
202101,NIEDERSACHSEN,7538.0,7425.0,6407.0,6403.0,31.0,25.0,1737.0,3310.0,1615.0,1.0
202101,NORDRHEIN-WESTFALEN,12994.0,12965.0,8731.0,8730.0,161.0,56.0,3482.0,10908.0,4931.0,2.0
202101,RHEINLAND-PFALZ,2400.0,2394.0,1625.0,1625.0,12.0,8.0,735.0,1847.0,898.0,3.0
202101,SAARLAND,1031.0,1029.0,487.0,487.0,5.0,,151.0,779.0,205.0,
202101,SACHSEN,2103.0,2101.0,1204.0,1204.0,7.0,9.0,319.0,1150.0,490.0,1.0
202101,SACHSEN-ANHALT,1061.0,1058.0,670.0,668.0,7.0,4.0,200.0,542.0,203.0,
